source_file,experiment_code,run,week,temperature,star_id,date,time,flip_number,start_frame,end_frame,duration_frames,duration_seconds,seconds_from_first_flip_start,total_frames,flip_start_time,flip_end_time,total_duration_seconds,cumulative_flip_count
D:\PycnoStressMonitor\data\cold_box_flips\R1_W2_14-5C\i8\0-11_19_23-13_37_10-i8.csv,R1_W2_14-5C,R1,W2,14.5C,i8,2023-11-19,13:37:10,3,211,243,33,16.5,105.0,1367,105.5,121.5,683.5,1
D:\PycnoStressMonitor\data\cold_box_flips\R1_W2_14-5C\i8\0-11_19_23-13_37_10-i8.csv,R1_W2_14-5C,R1,W2,14.5C,i8,2023-11-19,13:37:10,4,260,311,52,26.0,129.5,1367,130.0,155.5,683.5,2
D:\PycnoStressMonitor\data\cold_box_flips\R1_W2_14-5C\i8\0-11_19_23-13_37_10-i8.csv,R1_W2_14-5C,R1,W2,14.5C,i8,2023-11-19,13:37:10,5,322,349,28,14.0,160.5,1367,161.0,174.5,683.5,3
D:\PycnoStressMonitor\data\cold_box_flips\R1_W2_14-5C\i8\0-11_19_23-13_37_10-i8.csv,R1_W2_14-5C,R1,W2,14.5C,i8,2023-11-19,13:37:10,6,372,410,39,19.5,185.5,1367,186.0,205.0,683.5,4
D:\PycnoStressMonitor\data\cold_box_flips\R1_W2_14-5C\i8\0-11_19_23-13_37_10-i8.csv,R1_W2_14-5C,R1,W2,14.5C,i8,2023-11-19,13:37:10,7,430,469,40,20.0,214.5,1367,215.0,234.5,683.5,5
D:\PycnoStressMonitor\data\cold_box_flips\R1_W2_14-5C\i8\0-11_19_23-13_37_10-i8.csv,R1_W2_14-5C,R1,W2,14.5C,i8,2023-11-19,13:37:10,8,488,560,73,36.5,243.5,1367,244.0,280.0,683.5,6
D:\PycnoStressMonitor\data\cold_box_flips\R1_W2_14-5C\i8\0-11_19_23-13_37_10-i8.csv,R1_W2_14-5C,R1,W2,14.5C,i8,2023-11-19,13:37:10,9,580,633,54,27.0,289.5,1367,290.0,316.5,683.5,7
D:\PycnoStressMonitor\data\cold_box_flips\R1_W2_14-5C\p10\0-11_19_23-12_45_47-p10.csv,R1_W2_14-5C,R1,W2,14.5C,p10,2023-11-19,12:45:47,2,186,262,77,38.5,85.0,1384,93.0,131.0,692.0,1
D:\PycnoStressMonitor\data\cold_box_flips\R1_W2_14-5C\p10\0-11_19_23-12_45_47-p10.csv,R1_W2_14-5C,R1,W2,14.5C,p10,2023-11-19,12:45:47,3,291,374,84,42.0,137.5,1384,145.5,187.0,692.0,2
D:\PycnoStressMonitor\data\cold_box_flips\R1_W2_14-5C\p10\0-11_19_23-12_45_47-p10.csv,R1_W2_14-5C,R1,W2,14.5C,p10,2023-11-19,12:45:47,4,399,454,56,28.0,191.5,1384,199.5,227.0,692.0,3
D:\PycnoStressMonitor\data\cold_box_flips\R1_W2_14-5C\p10\0-11_19_23-12_45_47-p10.csv,R1_W2_14-5C,R1,W2,14.5C,p10,2023-11-19,12:45:47,5,481,588,108,54.0,232.5,1384,240.5,294.0,692.0,4
D:\PycnoStressMonitor\data\cold_box_flips\R1_W2_14-5C\p12\0-11_19_23-12_58_19-p12.csv,R1_W2_14-5C,R1,W2,14.5C,p12,2023-11-19,12:58:19,2,142,235,94,47.0,60.5,1242,71.0,117.5,621.0,1
D:\PycnoStressMonitor\data\cold_box_flips\R1_W2_14-5C\p12\0-11_19_23-12_58_19-p12.csv,R1_W2_14-5C,R1,W2,14.5C,p12,2023-11-19,12:58:19,3,257,311,55,27.5,118.0,1242,128.5,155.5,621.0,2
D:\PycnoStressMonitor\data\cold_box_flips\R1_W2_14-5C\p12\0-11_19_23-12_58_19-p12.csv,R1_W2_14-5C,R1,W2,14.5C,p12,2023-11-19,12:58:19,4,334,389,56,28.0,156.5,1242,167.0,194.5,621.0,3
D:\PycnoStressMonitor\data\cold_box_flips\R1_W2_14-5C\p12\0-11_19_23-12_58_19-p12.csv,R1_W2_14-5C,R1,W2,14.5C,p12,2023-11-19,12:58:19,5,408,430,23,11.5,193.5,1242,204.0,215.0,621.0,4
D:\PycnoStressMonitor\data\cold_box_flips\R1_W2_14-5C\p12\0-11_19_23-12_58_19-p12.csv,R1_W2_14-5C,R1,W2,14.5C,p12,2023-11-19,12:58:19,6,442,493,52,26.0,210.5,1242,221.0,246.5,621.0,5
D:\PycnoStressMonitor\data\cold_box_flips\R1_W2_14-5C\p12\0-11_19_23-12_58_19-p12.csv,R1_W2_14-5C,R1,W2,14.5C,p12,2023-11-19,12:58:19,7,513,527,15,7.5,246.0,1242,256.5,263.5,621.0,6
D:\PycnoStressMonitor\data\cold_box_flips\R1_W2_14-5C\p12\0-11_19_23-12_58_19-p12.csv,R1_W2_14-5C,R1,W2,14.5C,p12,2023-11-19,12:58:19,8,547,574,28,14.0,263.0,1242,273.5,287.0,621.0,7
D:\PycnoStressMonitor\data\cold_box_flips\R1_W2_14-5C\p12\0-11_19_23-12_58_19-p12.csv,R1_W2_14-5C,R1,W2,14.5C,p12,2023-11-19,12:58:19,9,589,620,32,16.0,284.0,1242,294.5,310.0,621.0,8
